,top_n_features,n_estimators,min_samp,max_depth,mae_pred,rmse_pred,r2_pred,mae_train,rmse_train,r2_train
0,10,25,20,5,11.868694460391165,19.579191225254544,0.8723777968866931,7.788332293193838,11.363111868591428,0.957013577202103
1,10,50,20,5,9.52832644980685,17.573908025634147,0.8971809848467789,4.457833347753394,7.078434804000309,0.9833194174402211
2,10,75,20,5,9.227124122746517,17.282307321034068,0.9005647915037569,3.7193803021871448,5.909804444335294,0.9883725906600338
3,10,100,20,5,9.104000045058617,17.045840340511734,0.9032672411885347,3.1627348541780456,5.057329690106136,0.9914851054437377
0,10,500,20,5,8.868730428931928,16.933018349497228,0.9045435015715931,1.284113093344411,3.130646287289437,0.9967370926248558
0,10,200,20,5,8.932333554204376,16.894620712781975,0.9049759286931472,2.018846711861905,3.641166855307855,0.9955861466164682
1,10,300,20,5,8.883998070104754,16.876347435147217,0.905181374227299,1.5993729890691422,3.293873494000492,0.9963879764579089
0,10,200,20,5,8.932333554204376,16.894620712781975,0.9049759286931472,2.018846711861905,3.641166855307855,0.9955861466164682
1,10,300,20,5,8.883998070104754,16.876347435147217,0.905181374227299,1.5993729890691422,3.293873494000492,0.9963879764579089
